NAME	left	right	DNA strand where the operon is coded	Evidence that support the existence of the operon's Tus
rhlB	3962388	3963653	reverse	[ICWHO|W|Inferred computationally without human oversight]
rhlE	830095	831459	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
rhoL-rho	3964254	3965699	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]"
rhsA-yibA	3760206	3765202	forward	[ICWHO|W|Inferred computationally without human oversight]
rhsB	3617215	3621450	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
rhsC-ybfB	728806	733325	forward	[ICWHO|W|Inferred computationally without human oversight]
rhsD-ybbC-ylbH-ybbD	522485	528124	forward	[ICWHO|W|Inferred computationally without human oversight]
rhsE-ydcD	1525914	1528428	forward	[ICWHO|W|Inferred computationally without human oversight]
rhtA	848433	849320	reverse	[ICWHO|W|Inferred computationally without human oversight]
rhtB	4006462	4007082	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
rhtC	4005780	4006400	forward	[ICWHO|W|Inferred computationally without human oversight]
ribA	1336594	1337184	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
ribC	1740625	1741266	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ribF-ileS-lspA-fkpB-ispH	21407	27227	forward	"[IEP|W|Inferred from expression pattern],[PM|S|Polar mutation]; [ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern]"
ridA	4468550	4468936	reverse	[ICWHO|W|Inferred computationally without human oversight]
rihA	682700	683635	reverse	[ICWHO|W|Inferred computationally without human oversight]
rihB	2252267	2253208	reverse	[ICWHO|W|Inferred computationally without human oversight]
rihC	27293	28207	forward	[ICWHO|W|Inferred computationally without human oversight]
rimJ	1124785	1125369	forward	
rimL	1496962	1497501	forward	[BTEI|W|Boundaries of transcription experimentally identified]
rimO	875933	877258	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
rlmA	1904275	1905084	reverse	[ICWHO|W|Inferred computationally without human oversight]
rlmD	2911721	2913022	reverse	[ICWHO|W|Inferred computationally without human oversight]
rlmE-ftsH	3323023	3325686	reverse	"[LTED|S|Length of transcript experimentally determined]; [IC|W|Inferred by curator]"
rlmF	841555	842481	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
rlmG	3232761	3233897	reverse	[ICWHO|W|Inferred computationally without human oversight]
rlmI	1028002	1029192	reverse	[ICWHO|W|Inferred computationally without human oversight]
rlmJ	3643408	3644250	forward	[ICWHO|W|Inferred computationally without human oversight]
rlmL-uup	1007067	1011094	forward	[PM|S|Polar mutation]
rlmM	2938165	2939265	reverse	[IHBCE|W|Inferred by a human based on computational evidence]
rlmN	2641151	2642305	reverse	[ICWHO|W|Inferred computationally without human oversight]
rluB	1324876	1325751	forward	[ICWHO|W|Inferred computationally without human oversight]
rluC	1144163	1145122	forward	[ICWHO|W|Inferred computationally without human oversight]
rluD-yfiH	2732325	2734033	reverse	[ICWHO|W|Inferred computationally without human oversight]
rluE-nudJ	1193050	1194174	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
rluF	4228377	4229249	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
rmf	1014938	1015105	forward	"[ICWHO|W|Inferred computationally without human oversight]; [BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]"
rmuC	4015356	4016783	forward	[ICWHO|W|Inferred computationally without human oversight]
rna	643420	644226	reverse	[ICWHO|W|Inferred computationally without human oversight]
rnb	1345002	1346936	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
rnc-era-recO-pdxJ-acpS	2698640	2702085	reverse	"[LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]; [IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[PM|S|Polar mutation]"
rnd	1884888	1886015	reverse	[IHBCE|W|Inferred by a human based on computational evidence],[BTEI|W|Boundaries of transcription experimentally identified]
rne	1140405	1143590	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
rnhA	235535	236002	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
rnk	642780	643190	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
rnlAB	2763940	2765377	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [IEP|W|Inferred from expression pattern]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
rnt-lhr	1726371	1731727	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined]"
rob	4632464	4633333	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
rodZ	2639853	2640866	reverse	"[IHBCE|W|Inferred by a human based on computational evidence]; [IC|W|Inferred by curator]"
rph-pyrE	3813150	3814572	reverse	"[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]; [IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
rpiA	3056688	3057347	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
rpiB	4311373	4311822	forward	[BTEI|W|Boundaries of transcription experimentally identified]
rpiR-alsBACE	4305806	4311014	reverse	"[PM|S|Polar mutation]; [IC|W|Inferred by curator]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
rplKAJL-rpoBC	4176470	4187596	forward	"[PM|S|Polar mutation]; [BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined]"
rplM-rpsI	3375837	3376673	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator],[BTEI|W|Boundaries of transcription experimentally identified]"
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	3440640	3446171	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process]
rplU-rpmA	3330884	3331473	reverse	[IC|W|Inferred by curator]
rplY	2280539	2280823	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
rpmE	4125036	4125248	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
rpmH-rnpA	3882359	3882875	forward	[BTEI|W|Boundaries of transcription experimentally identified]
rpoE-rseABC	2705344	2708034	reverse	"[ITCR|W|Inferred through co-regulation]; [BTEI|W|Boundaries of transcription experimentally identified]; [ITCR|W|Inferred through co-regulation],[BTEI|W|Boundaries of transcription experimentally identified],[IEP|W|Inferred from expression pattern]"
rpoH	3597952	3598806	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
rpoZ-spoT-trmH-recG	3820129	3825314	forward	[ITCR|W|Inferred through co-regulation]
rppH-ptsP	2964210	2966999	reverse	[ICWHO|W|Inferred computationally without human oversight]
rprA	1768396	1768500	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
rpsF-priB-rpsR-rplI	4423141	4424580	forward	
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	3446336	3451292	reverse	[TAS|W|Traceable author statement]
rpsLG-fusA-tufA	3468167	3472574	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined]"
rpsMKD-rpoA-rplQ	3437638	3440493	reverse	[ITCR|W|Inferred through co-regulation],[PM|S|Polar mutation]
rpsP-rimM-trmD-rplS	2742205	2744207	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined]"
rpsT	20815	21078	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
rpsU-dnaG-rpoD	3208803	3212910	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
rraB	4476496	4476912	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
rrsA-ileT-alaT-rrlA-rrfA	4033554	4038659	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
rrsB-gltT-rrlB-rrfB	4164682	4169779	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
rrsC-gltU-rrlC-rrfC	3939831	3944842	forward	[BTEI|W|Boundaries of transcription experimentally identified]
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	3421445	3426784	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]"
rrsE-gltV-rrlE-rrfE	4206170	4211182	forward	"[PAGTSBP|W|Products of adjacent genes in the same biological process]; [BTEI|W|Boundaries of transcription experimentally identified]"
rrsG-gltW-rrlG-rrfG	2724091	2729179	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
rrsH-ileV-alaV-rrlH-rrfH	223771	228875	forward	"[PAGTSBP|W|Products of adjacent genes in the same biological process]; [BTEI|W|Boundaries of transcription experimentally identified]"
rsd	4194355	4194831	reverse	[ICWHO|W|Inferred computationally without human oversight]
rseP	196546	197898	forward	
rseX	2031673	2031763	forward	[LTED|S|Length of transcript experimentally determined],[IHBCE|W|Inferred by a human based on computational evidence]
rsfS-rlmH-mrdAB-rlpA	663325	668259	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
rsgA	4388480	4389532	reverse	[ICWHO|W|Inferred computationally without human oversight]
rsmB	3433229	3434518	forward	[IHBCE|W|Inferred by a human based on computational evidence]
rsmC	4604692	4605723	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
rsmD-yhhL	3602416	3603271	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
rsmE-gshB	3089156	3090850	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
rsmF	1918247	1919686	forward	[ICWHO|W|Inferred computationally without human oversight]
rsmI	3290497	3291357	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
rspAB	1650920	1653165	reverse	[ICWHO|W|Inferred computationally without human oversight],[PM|S|Polar mutation]
rssAB	1288429	1290478	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [PM|S|Polar mutation]"
rstAB	1680174	1682207	forward	
rsuA	2277810	2278505	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
rtcBA	3553855	3556101	reverse	"[IC|W|Inferred by curator]; [PM|S|Polar mutation]"
rtcR	3556290	3557888	forward	[BTEI|W|Boundaries of transcription experimentally identified]
rtn	2268748	2270304	forward	[ICWHO|W|Inferred computationally without human oversight]
rttR	1286289	1286459	reverse	[ICWHO|W|Inferred computationally without human oversight]
rutABCDEFG	1067734	1073234	reverse	"[IC|W|Inferred by curator]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
rutR	1073465	1074103	forward	"[LTED|S|Length of transcript experimentally determined]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
ruvAB	1942370	1944000	reverse	"[IC|W|Inferred by curator]; [BTEI|W|Boundaries of transcription experimentally identified]"
rybA-mntS	851948	852287	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
rybB	887200	887280	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
rydB	1762737	1762804	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
rydC	1489467	1489530	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[BTEI|W|Boundaries of transcription experimentally identified]
ryeA	1921090	1921338	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ryfA	2651877	2652180	forward	[ICWHO|W|Inferred computationally without human oversight]
ryfD	2732175	2732317	reverse	[LTED|S|Length of transcript experimentally determined]
ryhB	3578950	3579039	reverse	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
ryjA	4275950	4276089	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ryjB	4526000	4526089	forward	[LTED|S|Length of transcript experimentally determined]
rzoD	577550	577732	forward	[ICWHO|W|Inferred computationally without human oversight]
rzoR	1421424	1421609	forward	[ICWHO|W|Inferred computationally without human oversight]
sad	1611339	1612727	reverse	[ICWHO|W|Inferred computationally without human oversight]
safA-ydeO	1580950	1581983	reverse	[ITCR|W|Inferred through co-regulation]
sanA-yeiS	2230900	2231861	forward	[ICWHO|W|Inferred computationally without human oversight]
sapABCDF	1349852	1355134	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
satP	9928	10494	reverse	[ICWHO|W|Inferred computationally without human oversight]
sbcB	2080780	2082207	forward	[BTEI|W|Boundaries of transcription experimentally identified]
sbcDC	411831	416176	reverse	"[PAGTSBP|W|Products of adjacent genes in the same biological process],[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
sbmA-yaiW	395863	398190	forward	[ITCR|W|Inferred through co-regulation]
sbmC	2078813	2079286	reverse	[ICWHO|W|Inferred computationally without human oversight]
sbp	4106857	4107846	forward	[ICWHO|W|Inferred computationally without human oversight]
scpA-argK-scpBC	3058872	3064302	forward	[NTAS|W|Non-traceable author statement]
sdaA	1894956	1896320	forward	[BTEI|W|Boundaries of transcription experimentally identified]
sdaCB	2926251	2928965	forward	[ITCR|W|Inferred through co-regulation],[BTEI|W|Boundaries of transcription experimentally identified],[IEP|W|Inferred from expression pattern]
sdhCDAB-sucABCD	754400	764272	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined]"
sdhE-cptA	3038438	3039092	reverse	[ICWHO|W|Inferred computationally without human oversight]
sdiA	1994134	1994856	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
sdsR	1921128	1921231	reverse	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
secB-gpsA	3780665	3782151	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
secE-nusG	4175381	4176311	forward	[BTEI|W|Boundaries of transcription experimentally identified]
secG-leuU	3320094	3320527	reverse	"[LTED|S|Length of transcript experimentally determined]; [BTEI|W|Boundaries of transcription experimentally identified]; [IHBCE|W|Inferred by a human based on computational evidence]"
secMA-mutT	107705	111433	forward	[PM|S|Polar mutation]
selAB	3756040	3759272	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]"
selC	3834245	3834339	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
seqA-pgm	712210	714421	forward	[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
serA	3055200	3056432	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
serB-radA-nadR	4622918	4626570	forward	"[ICWHO|W|Inferred computationally without human oversight]; [ITCR|W|Inferred through co-regulation],[PM|S|Polar mutation]"
serC-aroA	956876	959318	forward	"[LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
serS	938651	939943	forward	[ICWHO|W|Inferred computationally without human oversight]
serT	1030848	1030935	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
serU	2041492	2041581	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
serV-argVYZQ	2815806	2816667	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
serW	925107	925194	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
serX	1096788	1096875	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
setB	2261885	2263066	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
setC	3834976	3836160	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
sfmA	557435	557977	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
sfmCD	558197	561523	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
sfmHF	561565	563068	forward	[ICWHO|W|Inferred computationally without human oversight]
sfsA-dksA-gluQ	159186	161486	reverse	"[LTED|S|Length of transcript experimentally determined]; [IC|W|Inferred by curator]"
sfsB	3332931	3333209	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
sgcXBCQAER	4524129	4529674	reverse	[ICWHO|W|Inferred computationally without human oversight]
sgrR-sroA-tbpA-thiPQ	72229	77299	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [LTED|S|Length of transcript experimentally determined]; [IC|W|Inferred by curator]"
sgrST-setA	77367	78799	forward	[ITCR|W|Inferred through co-regulation],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[ICWHO|W|Inferred computationally without human oversight]
shiA	2051667	2052983	forward	[ICWHO|W|Inferred computationally without human oversight]
shoB	2698139	2698219	reverse	[LTED|S|Length of transcript experimentally determined]
sibA	2151335	2151478	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
sibB	2151670	2151805	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
sibC	3054873	3055013	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
sibD	3192743	3192887	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
sibE	3193119	3193262	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
sieB	1416695	1417183	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
sixA	2454349	2454834	reverse	[ICWHO|W|Inferred computationally without human oversight]
slp-dctR	3651984	3653236	forward	[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]
slt	4628756	4630693	forward	[ICWHO|W|Inferred computationally without human oversight]
slyA	1718414	1718848	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
slyB	1717900	1718367	forward	
slyD	3475929	3476519	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
slyX	3475662	3475880	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
smf	3430458	3431582	reverse	[LTED|S|Length of transcript experimentally determined],[IHBCE|W|Inferred by a human based on computational evidence]
smg	3430013	3430486	reverse	
smpB	2752918	2753400	forward	[ICWHO|W|Inferred computationally without human oversight]
smrA	1404003	1404566	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
smrB	2446628	2447179	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
smtA-mukFEB	972760	980009	forward	[ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern],[PM|S|Polar mutation]
sodA	4098833	4099453	forward	[BTEI|W|Boundaries of transcription experimentally identified]
sodB	1733402	1733983	forward	
sodC	1722158	1722679	reverse	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
sohB	1327356	1328405	forward	
sokB	1490143	1490198	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
sokC	16952	17006	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
solA-yceO	1118530	1119809	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
soxR	4275492	4275956	forward	[BTEI|W|Boundaries of transcription experimentally identified]
soxS	4275083	4275406	reverse	[LTED|S|Length of transcript experimentally determined]
speAB	3080899	3083933	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined]"
speC	3105042	3107177	reverse	
speF-potE	716169	719683	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined]"
spf	4047922	4048030	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
sppA	1846861	1848717	forward	[ICWHO|W|Inferred computationally without human oversight]
spy	1823164	1823649	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
sraA	457952	458008	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
sraB	1145812	1145980	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
srlAEBD-gutM-srlR-gutQ	2823854	2828800	forward	[LTED|S|Length of transcript experimentally determined]
srmB	2710918	2712252	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
sroG-ribB	3181835	3182740	reverse	[LTED|S|Length of transcript experimentally determined]
sroH	4188350	4188510	reverse	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
ssb	4272148	4272684	forward	[BTEI|W|Boundaries of transcription experimentally identified]
sseA	2650516	2651361	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
sseB	2652179	2652955	reverse	[ICWHO|W|Inferred computationally without human oversight]
sspAB	3374301	3375442	reverse	[LTED|S|Length of transcript experimentally determined]
ssrA	2753615	2753977	forward	[ICWHO|W|Inferred computationally without human oversight]
ssrS-fau	3054005	3054811	forward	"[LTED|S|Length of transcript experimentally determined]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
sstT	3237966	3239210	forward	[ICWHO|W|Inferred computationally without human oversight]
ssuEADCB	992500	996735	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]"
stfE-tfaE	1207740	1208878	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
sthA	4157413	4158813	reverse	
stpA	2796113	2796517	reverse	[LTED|S|Length of transcript experimentally determined]
sufABCDSE	1756898	1762410	reverse	"[IC|W|Inferred by curator]; [PAGTSBP|W|Products of adjacent genes in the same biological process],[ITCR|W|Inferred through co-regulation]"
sugE	4374898	4375215	forward	
suhB	2661464	2662267	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
sulA	1019633	1020142	reverse	
sxy	1020361	1020990	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
syd	2922757	2923302	reverse	[ICWHO|W|Inferred computationally without human oversight]
symE	4577522	4577863	reverse	[LTED|S|Length of transcript experimentally determined]
symR	4577858	4577934	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
tabA	4472885	4473337	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
tag-yiaC	3711115	3712115	forward	[ICWHO|W|Inferred computationally without human oversight]
talA-tktB	2576688	2579661	forward	"[PAGTSBP|W|Products of adjacent genes in the same biological process],[IEP|W|Inferred from expression pattern]; [IC|W|Inferred by curator]; [BTEI|W|Boundaries of transcription experimentally identified]"
talB	8238	9191	forward	[BTEI|W|Boundaries of transcription experimentally identified]
tamAB-ytfP	4440405	4446258	forward	[ICWHO|W|Inferred computationally without human oversight]
tar-tap-cheRBYZ	1964417	1970715	reverse	[PM|S|Polar mutation]
tas	2969619	2970659	forward	[ICWHO|W|Inferred computationally without human oversight]
tatABCD	4019968	4022359	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]"
tatE	658170	658373	forward	[ICWHO|W|Inferred computationally without human oversight]
tauABCD	384456	387870	forward	[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
tcdA	2943058	2943864	reverse	[ICWHO|W|Inferred computationally without human oversight]
tdcABCDEFG	3256307	3265087	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
tdcR	3265402	3265620	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
tdk	1292750	1293367	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
tehAB	1498597	1500179	forward	[TASES|W|Traceable author statement to experimental support]
tesA-ybbO	517564	518989	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
tesB	473525	474385	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
tfaD	580757	581320	forward	[ICWHO|W|Inferred computationally without human oversight]
tfaS	2468825	2469127	forward	[ICWHO|W|Inferred computationally without human oversight]
tfaX	582098	582283	forward	[ICWHO|W|Inferred computationally without human oversight]
tff-rpsB-tsf	189712	191708	forward	
tgt-yajC-secDF	425361	429700	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
thiCEFSGH	4188758	4194122	reverse	
thiI	440773	442221	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
thiMD	2181738	2183323	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
thrLABC	190	5020	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [PM|S|Polar mutation]"
thrS-infC-rpmI-rplT-pheMST-ihfA	1793277	1800594	reverse	"[LTED|S|Length of transcript experimentally determined]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]; [PAGTSBP|W|Products of adjacent genes in the same biological process]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]"
thrU-tyrU-glyT-thrT-tufB	4173411	4175151	forward	[ITCR|W|Inferred through co-regulation],[BTEI|W|Boundaries of transcription experimentally identified]
thrW	262095	262170	forward	[BTEI|W|Boundaries of transcription experimentally identified]
tig	454357	455655	forward	[ICWHO|W|Inferred computationally without human oversight]
tilS	212331	213629	forward	[ICWHO|W|Inferred computationally without human oversight]
tisB	3851576	3851665	forward	[LTED|S|Length of transcript experimentally determined]
tktA	3077666	3079657	reverse	[ICWHO|W|Inferred computationally without human oversight]
tldD	3388605	3390050	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
tnaCAB	3886458	3889506	forward	"[ITCR|W|Inferred through co-regulation],[IHBCE|W|Inferred by a human based on computational evidence]; [BTEI|W|Boundaries of transcription experimentally identified]"
tolB-pal-ybgF	776963	779612	forward	[PM|S|Polar mutation]
tolC-ygiABC	3176137	3179603	forward	[ICWHO|W|Inferred computationally without human oversight]
tomB-hha	479314	479932	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
tonB	1309113	1309832	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
topA	1329072	1331669	forward	[ICWHO|W|Inferred computationally without human oversight]
