Product Type	NAME	Gene
-	galactose ABC transporter - ATP binding subunit	mglA
-	galactose ABC transporter - periplasmic binding protein	mglB
-	GalS DNA-binding transcriptional dual regulator	galS
-	conserved inner membrane protein	yeiB
-	GTP cyclohydrolase I monomer	folE
-		yeiG
-	outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine	cirA
-	lysine:H<sup>+</sup> symporter	lysP
-	LYSR-type transcriptional regulator	yeiE
-	conserved inner membrane protein	yeiH
-	endonuclease IV	nfo
-	predicted kinase	yeiI
-	putative pyrimidine nucleoside transporter	nupX
-	ribonucleoside hydrolase 2 (pyrimidine-specific)	rihB
-	YeiL DNA-binding transcriptional activator	yeiL
-	predicted pseudouridine transporter - PsuT	psuT
-	predicted pseudouridine 5'-phosphate glycosidase	psuG
-	predicted pseudouridine kinase	psuK
-	fructose PTS permease - FruA subunit	fruA
-	1-phosphofructokinase monomer	fruK
-	fructose PTS permease - FruB subunit	fruB
-	sugar / lactose efflux transporter SetB	setB
-	conserved protein	yeiW
-	predicted dehydrogenase, NAD-dependent	yeiP
-	predicted dehydrogenase, NAD-dependent	yeiQ
-	zinc-binding GTPase	yeiR
-	protein with low undecaprenyl pyrophosphate phosphatase activity	lpxT
-	murein LD-carboxypeptidase/murein DD-endopeptidase	mepS
-	conserved protein	rtn
-	peptide ABC transporter - periplasmic binding protein	yejA
-	peptide ABC transporter - membrane subunit	yejB
-	peptide ABC transporter - membrane subunit	yejE
-	peptide ABC transporter - ATP binding subunit	yejF
-	predicted protein	yejG
small RNA	YejG5'	
-	multidrug efflux transporter Bcr	bcr
-	16S rRNA pseudouridine 516 synthase	rsuA
-	predicted ATP-dependent helicase	yejH
-	50S ribosomal subunit protein L25	rplY
-	nucleoid-associated protein	yejK
-	conserved protein	yejL
-	predicted hydrolase, inner membrane	yejM
tRNA	tRNA<SUP>proL</SUP>	proL
-	predicted autotransporter outer membrane protein	yejO
-		b2191
-	IS5 transposase and trans-activator	insH-8
-	NarP	narP
-	CcmH	ccmH
-	CcmG	ccmG
-	cytochrome c-type biogenesis protein	ccmF
-	membrane anchored periplasmic heme chaperone CcmE	ccmE
-	protoheme IX ABC transporter - membrane subunit CcmD	ccmD
-	protoheme IX ABC transporter - membrane subunit CcmC	ccmC
-	protoheme IX ABC transporter - membrane subunit CcmB	ccmB
-	protoheme IX ABC transporter - ATP binding subunit	ccmA
-	cytochrome c protein	napC
-	subunit of periplasmic nitrate reductase, cytochrome c<SUB>550</SUB> protein	napB
-	ferredoxin-type protein	napH
-	ferredoxin-type protein	napG
-	large subunit of periplasmic nitrate reductase, molybdoprotein	napA
-	signal peptide-binding chaperone for NapA	napD
-	ferredoxin-type protein	napF
-	hypothetical protein	yojO
-	"ecotin monomer; serine protease inhibitor"	eco
-	malate:quinone oxidoreductase	mqo
-	fused predicted multidrug transport subunits of ABC superfamily: membrane component / ATP-binding component	yojI
-	AlkB repair system for alkylated DNA and RNA	alkB
-	Ada DNA-binding transcriptional dual regulator	ada
-	predicted thiamine biosynthesis lipoprotein	apbE
-	OmpC	ompC
small RNA	MicF	micF
-	RcsD phosphotransferase	rcsD
-	RcsB	rcsB
-	RcsC sensory histidine kinase	rcsC
-	AtoS	atoS
-	"AtoC transcriptional activator; Az protein inhibitor of ODC"	atoC
-	"acetyl-CoA:acetoacetyl-CoA transferase, &alpha; subunit"	atoD
-	"acetyl-CoA:acetoacetyl-CoA transferase, &beta; subunit"	atoA
-	predicted short chain fatty acid transporter	atoE
-	AtoB	atoB
-	conserved protein	yfaP
-	predicted protein	yfaQ
-	predicted protein, C-ter fragment	yfaS_2
-	predicted protein, N-ter fragment	yfaS_1
-	predicted protein	yfaT
-	predicted protein	yfaA
-	DNA gyrase, subunit A	gyrA
-	UbiG	ubiG
-	adhesin	yfaL
-	hypothetical protein	ypaB
-	"ribonucleoside diphosphate reductase 1, &alpha; subunit"	nrdA
-	"ribonucleoside diphosphate reductase 1, &beta; subunit, ferritin-like"	nrdB
-	2Fe-2S cluster-containing protein involved in diferric-tyrosyl radical cofactor maintenance	yfaE
-	pH-inducible protein involved in stress response	inaA
-	conserved protein	yfaH
-	GlpQ	glpQ
-	glycerol-3-phosphate:phosphate antiporter	glpT
-	Anaerobic glycerol-3-phosphate dehydrogenase subunit A	glpA
-	Anaerobic glycerol-3-phosphate dehydrogenase subunit B	glpB
-	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	glpC
-	conserved protein	yfaD
-		ypaA
-	2-keto-3-deoxy-L-rhamnonate aldolase	yfaU
-	predicted transporter	yfaV
-	L-rhamnonate dehydratase	yfaW
-	predicted DNA-binding transcriptional regulator	yfaX
-	conserved protein	yfaY
-	outer membrane protein	yfaZ
-	pyrimidine deoxynucleoside triphosphate pyrophosphohydrolase	nudI
-	protein induced by aluminum	ais
-	"UDP-L-Ara4O C-4"" transaminase"	arnB
-	undecaprenyl phosphate-L-Ara4FN transferase	arnC
-	fused UDP-L-Ara4N formyltransferase and UDP-GlcA C-4''-decarboxylase	arnA
-	conserved protein	arnD
-	4-amino-4-deoxy-L-arabinose (L-Ara4N) transferase	arnT
-	"undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit"	arnE
-	"undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit"	arnF
-	polymyxin B resistance protein	pmrD
-	MenE	menE
-	<i>o</i>-succinylbenzoate synthase	menC
-		menB
-	(1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	menH
-		menD
-	MenF	menF
-	conserved protein	elaB
-	predicted acyltransferase with acyl-CoA N-acyltransferase domain	elaA
-	Rbn	rbn
-	deubiquitinase	elaD
-	putative lipoprotein	yfbK
-	predicted peptidase	yfbL
-	predicted protein	yfbM
-	predicted protein	yfbN
-	predicted protein	yfbO
-	predicted protein	yfbP
-	NADH:ubiquinone oxidoreductase, membrane subunit N	nuoN
-	NADH:ubiquinone oxidoreductase, membrane subunit M	nuoM
-	NADH:ubiquinone oxidoreductase, membrane subunit L	nuoL
-	NADH:ubiquinone oxidoreductase, membrane subunit K	nuoK
-	NADH:ubiquinone oxidoreductase, membrane subunit J	nuoJ
-	NADH:ubiquinone oxidoreductase, chain I	nuoI
-	NADH:ubiquinone oxidoreductase, membrane subunit H	nuoH
-	NADH:ubiquinone oxidoreductase, chain G	nuoG
-	NADH:ubiquinone oxidoreductase, chain F	nuoF
-	NADH:ubiquinone oxidoreductase, chain E	nuoE
-	NADH:ubiquinone oxidoreductase, chain CD	nuoC
-	NADH:ubiquinone oxidoreductase, chain B	nuoB
-	NADH:ubiquinone oxidoreductase, membrane subunit A	nuoA
-	LrhA DNA-binding transcriptional dual regulator	lrhA
-	glutamate-pyruvate aminotransferase	alaA
-	dCMP phosphohydrolase	yfbR
-	putative transport protein	yfbS
-	sugar phosphatase	yfbT
-	conserved protein	yfbU
-	protein involved in regulation of chromosome structure	yfbV
-	acetate kinase	ackA
-	Pta	pta
-	"predicted inner membrane protein; putative S-transferase"	yfcC
-	predicted Nudix hydrolase	yfcD
-	phosphodiesterase	yfcE
-	glutathione S-transferase	yfcF
-	disulfide bond reductase	yfcG
-	dihydroneopterin triphosphate 2'-epimerase monomer	folX
-	conserved protein with NAD(P)-binding Rossmann-fold domain	yfcH
-	conserved protein	yfcI
-	lysine / arginine / ornithine ABC transporter / histidine ABC transporter - ATP binding subunit	hisP
-	lysine/arginine/ornithine ABC transporter / histidine ABC transporter - membrane subunit	hisM
-	lysine / arginine / ornithine ABC transporter / histidine ABC transporter - membrane subunit	hisQ
-	histidine ABC transporter - periplasmic binding protein	hisJ
-	lysine / arginine / ornithine ABC transporter - periplasmic binding protein	argT
-	3-octaprenyl-4-hydroxybenzoate decarboxylase together with UbiG	ubiX
-	PurF	purF
-	membrane protein required for colicin V production	cvpA
-	cell division protein DedD	dedD
-	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	folC
-	"acetyl-CoA carboxyltransferase, &beta; subunit"	accD
-	conserved inner membrane protein	dedA
-	tRNA pseudouridine synthase I	truA
-	predicted semialdehyde dehydrogenase	usg
-	erythronate-4-phosphate dehydrogenase	pdxB
-	predicted flagella assembly protein	flk
-	predicted transport protein YfcJ	yfcJ
-	FabB	fabB
-	fused 5-methylaminomethyl-2-thiouridine-forming methyltransferase and FAD-dependent demodification enzyme	mnmC
-	predicted protein	yfcL
-	EF-P-Lys34 hydroxylase	epmC
-	conserved inner membrane structural protein	yfcA
-	MepA	mepA
-	AroC	aroC
-	protein-glutamine N-methyltransferase	prmB
-	conserved protein, predicted endonuclease	smrB
-	predicted protein	yfcO
-	predicted fimbrial-like adhesin protein	yfcP
-	predicted fimbrial-like adhesin protein	yfcQ
-	predicted fimbrial-like adhesin protein	yfcR
-	predicted periplasmic pilus chaperone	yfcS
-	fimbrial usher protein, C-terminal fragment	yfcT
-	fimbrial usher protein, N-terminal fragment	yfcU
-	predicted fimbrial-like adhesin protein	yfcV
-	phosphohistidine phosphatase	sixA
-	FadJ monomer	fadJ
-	FadI monomer	fadI
-	conserved protein	yfcZ
-	"long-chain fatty acid outer membrane porin; bacteriophage T2 binding"	fadL
-	predicted protein	yfdF
-	MlaA	mlaA
-	predicted inner membrane protein	yfdC
tRNA	tRNA<SUP>argW</SUP>	argW
-	"CPS-53 (KpLE1) prophage; prophage CPS-53 integrase"	intS
-	"CPS-53 (KpLE1) prophage; predicted bactoprenol-linked glucose translocase (flippase)"	yfdG
-	"CPS-53 (KpLE1) prophage; bactoprenyl glucosyl transferase"	yfdH
-	"CPS-53 (KpLE1) prophage; predicted inner membrane protein"	yfdI
-	"CPS-53 (KpLE1) prophage; tail fiber assembly protein fragment"	tfaS
-	"CPS-53 (KpLE1) prophage; conserved protein"	yfdK
-	"CPS-53 (KpLE1) prophage; conserved protein"	yfdL
-	"CPS-53 (KpLE1) prophage; predicted methyltransferase"	yfdM
-	"CPS-53 (KpLE1) prophage; predicted protein"	yfdN
-	"CPS-53 (KpLE1) prophage; predicted defective phage replication protein O"	yfdO
-	"CPS-53 (KpLE1) prophage; predicted protein"	yfdP
-	"CPS-53 (KpLE1) prophage; predicted protein"	yfdQ
-	"CPS-53 (KpLE1) prophage; deoxyribonucleoside 5'-monophosphate phosphatase"	yfdR
-	"CPS-53 (KpLE1) prophage; predicted protein"	yfdS
-	"CPS-53 (KpLE1) prophage; predicted protein"	yfdT
-	predicted protein	ypdJ
-	prophage excisionase and response regulator inhibitor	torI
-	DsdC DNA-binding transcriptional dual regulator	dsdC
-	D-serine transporter	dsdX
-	D-serine ammonia-lyase	dsdA
-	EmrKY putative multidrug efflux transporter - membrane subunit	emrY
-	EmrKY-TolC multidrug efflux transport system - membrane fusion protein	emrK
-	EvgA transcriptional regulator	evgA
-	EvgS sensory histidine kinase	evgS
-	acetyl-CoA:oxalate CoA-transferase	yfdE
-	YfdV AEC Transporter	yfdV
-	oxalyl-CoA decarboxylase	oxc
-	formyl-CoA transferase monomer	frc
-	predicted protein	yfdX
-	YpdI  colanic acid synthesis lipoprotein	ypdI
-	predicted inner membrane protein	yfdY
-	palmitoleoyl acyltransferase	lpxP
small RNA	Tpke70	tpke70
-	small membrane protein	ypdK
-	glutamate-pyruvate aminotransferase	alaC
-	YpdA sensory histidine kinase	ypdA
-	YpdB transcriptional regulator	ypdB
-	predicted ARAC-type regulatory protein	ypdC
-	fused predicted PTS system enzymes: Hpr component, enzyme I component, enzyme IIA component	fryA
-	broad-specificity examinopeptidase	ypdE
-	aminopeptidase	ypdF
-	predicted enzyme IIC component of PTS	fryC
-	predicted enzyme IIB component of PTS	fryB
-	glucokinase/glucokinase	glk
-	predicted ion channel protein	yfeO
-	conserved protein	ypeC
-	Mn(2+) / Fe(2+): H+ symporter MntH	mntH
-	nucleoside:H<sup>+</sup> symporter NupC	nupC
-	predicted IS186/IS421 transposase	insL-3
-	predicted diguanylate cyclase	yfeA
tRNA	tRNA<SUP>alaX</SUP>	alaX
tRNA	tRNA<SUP>alaW</SUP>	alaW
-	predicted DNA-binding transcriptional regulator	yfeC
-	predicted DNA-binding transcriptional regulator	yfeD
-	glutamyl-tRNA synthetase	gltX
tRNA	tRNA<SUP>valU</SUP>	valU
tRNA	tRNA<SUP>valX</SUP>	valX
tRNA	tRNA<SUP>valY</SUP>	valY
tRNA	tRNA<SUP>lysV</SUP>	lysV
-	XapR transcriptional activator	xapR
-	xanthosine:H<sup>+</sup> symporter XapB	xapB
-	XapA	xapA
-	conserved outer membrane protein	yfeN
-	predicted DNA-binding transcriptional regulator, LYSR-type	yfeR
-	putative cytochrome oxidase	yfeH
-	predicted protein	ypeB
-	DNA ligase	ligA
-	essential cell division protein ZipA	zipA
small RNA	ZipA5'	zipA5'
-	predicted inner membrane protein	cysZ
-	CysK	cysK
-	HPr	ptsH
-	PtsI	ptsI
-	"Enzyme IIA<sup>Glc</sup>; Crr"	crr
-	PdxK	pdxK
-	predicted protein	yfeK
-	conserved protein	yfeS
-	CysM	cysM
-	sulfate / thiosulfate ABC transporter - ATP binding subunit	cysA
-	sulfate / thiosulfate ABC transporter - membrane subunit	cysW
-	sulfate / thiosulfate ABC transporter - membrane subunit	cysU
-	sulfate / thiosulfate ABC transporter - periplasmic binding protein CysP	cysP
-	predicted oxidoreductase	ucpA
-	MurR	murR
-	<i>N</i>-acetylmuramic acid 6-phosphate etherase	murQ
-	N-acetylmuramic acid PTS permease - MurP subunit	murP
-	penicillin binding protein 4B	yfeW
-	porphyrinogen peroxidase	yfeX
-	predicted outer membrane lipoprotein	yfeY
-	predicted inner membrane protein	yfeZ
-	predicted acyltransferase with acyl-CoA N-acyltransferase domain	ypeA
-	N-acetylmuramoyl-L-alanine amidase 1	amiA
-	coproporphyrinogen III oxidase	hemF
-	putative ARAC-type regulatory protein	eutR
-	predicted structural protein, ethanolamine utilization microcompartment	eutK
-	predicted structural protein, ethanolamine utilization microcompartment	eutL
-	"ethanolamine ammonia-lyase, &beta; subunit"	eutC
-	"ethanolamine ammonia-lyase, &alpha; subunit"	eutB
-	"CPZ-55 prophage; predicted integrase"	intZ
-	"CPZ-55 prophage; predicted protein"	yffL
-	"CPZ-55 prophage; predicted protein"	yffM
-	"CPZ-55 prophage; predicted protein"	yffN
-	"CPZ-55 prophage; predicted protein"	yffO
-	"CPZ-55 prophage; predicted protein"	yffP
-	"CPZ-55 prophage; predicted protein"	yffQ
-	"CPZ-55 prophage; predicted protein"	yffR
-	"CPZ-55 prophage; predicted protein"	yffS
-	reactivating factor for ethanolamine ammonia-lyase EutBC	eutA
-	predicted inner membrane protein	eutH
-	predicted alcohol dehydrogenase in ethanolamine utilization	eutG
-	predicted chaperonin, ethanolamine utilization protein	eutJ
-	predicted aldehyde dehydrogenase, ethanolamine utilization protein	eutE
-	predicted carboxysome structural protein	eutN
-	predicted structural protein, ethanolamine utilization microcompartment	eutM
-	phosphate acetyltransferase monomer	eutD
-	predicted cobalamine adenosyltransferase in ethanolamine utilization	eutT
-	conserved protein	eutQ
-	conserved protein with nucleoside triphosphate hydrolase domain	eutP
-	predicted structural protein, ethanolamine utilization microcompartment	eutS
-	MaeB	maeB
-	transaldolase A	talA
-	transketolase II	tktB
-	predicted protein	ypfG
-	GDP-mannose hydrolase	nudK
-	putative oxidoreductase,  Fe-S subunit	aegA
-	NarQ	narQ
-	AcrAD-TolC multidrug efflux transport system - permease subunit	acrD
-	small protein	ypfM
-	conserved protein	yffB
-	<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit	dapE
-	predicted protein	ypfN
-	esterase	ypfH
-	tRNA<sup>Met</sup> cytidine acetyltransferase	tmcA
-	conserved protein	ypfJ
-	PurC	purC
-	Outer Membrane Protein Assembly Complex - BamC subunit	bamC
-	4-hydroxy-tetrahydrodipicolinate synthase	dapA
-	GcvR predicted transcriptional regulator	gcvR
-	thiol peroxidase	bcp
-	hydrogenase 4, component A	hyfA
-	hydrogenase 4, component B	hyfB
-	hydrogenase 4, component C	hyfC
-	hydrogenase 4, component D	hyfD
-	hydrogenase 4, component E	hyfE
-	hydrogenase 4, component F	hyfF
-	hydrogenase 4, large subunit	hyfG
-	hydrogenase 4, component H	hyfH
-	hydrogenase 4, small subunit	hyfI
-	hydrogenase 4 component J, putative protein processing element	hyfJ
-	HyfR DNA-binding transcriptional activator	hyfR
-	FocB formate FNT transporter	focB
-	predicted inner membrane protein	yfgO
-	chaperone/protease involved in the maintenance of OM integrity	bepA
-	predicted oxidoreductase	yfgD
-	regulator of DnaA that prevents premature reinitiation of DNA replication	hda
-	uracil:H<sup>+</sup> symporter	uraA
-	Upp	upp
-	PurM	purM
-	phosphoribosylglycinamide formyltransferase 1	purN
-	Ppk	ppk
-	exopolyphosphatase monomer	ppx
-	cyclic di-GMP phosphodiesterase	yfgF
-	predicted protein	yfgG
-	predicted lipoprotein	yfgH
-	conserved protein, involved in DNA damage response	yfgI
-	GMP synthetase	guaA
-	GuaB	guaB
-	exonuclease VII, large subunit	xseA
-	predicted protein	yfgJ
-	50S ribosomal subunit stability factor	der
-	Outer Membrane Protein Assembly Complex - BamB subunit	bamB
-	conserved protein	yfgM
-	histidyl-tRNA synthetase	hisS
small RNA	SroE	sroE
-	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	ispG
-	transmembrane component of cytoskeleton	rodZ
-	23S rRNA m<sup>2</sup>A2503 methyltransferase and tRNA m<sup>2</sup>A37 methyltransferase	rlmN
-	Ndk	ndk
-	peptidoglycan glycosyltransferase	pbpC
-	"&alpha;-macroglobulin"	yfhM
-	hydrogen sulfide synthesis/3-mercaptopyruvate:cyanide sulfurtransferase/thiosulfate sulfurtransferase	sseA
small RNA	C0614	C0614
small RNA	IS128	IS128
small RNA	IS129	IS129
small RNA	RyfA	ryfA
-	overproduction causes enhanced serine sensitivity	sseB
-	aminopeptidase B	pepB
-	protein with possible role in iron-sulfur cluster biogenesis	iscX
-	reduced ferredoxin	fdx
-	chaperone for [Fe-S] cluster biosynthesis	hscA
-	co-chaperone for [Fe-S] cluster biosynthesis	hscB
-	iron-sulfur cluster assembly protein	iscA
-	scaffold protein for iron-sulfur cluster assembly	iscU
-	cysteine desulfurase monomer	iscS
-	IscR DNA-binding transcriptional dual regulator	iscR
-	tRNA Cm32/Um32 methyltransferase	trmJ
-	inositol monophosphatase	suhB
-	predicted peptidase	yfhR
-	stationary phase inducible protein	csiE
-	HcaT MFS transporter	hcaT
-	small protein IroK	iroK
-	HcaR transcriptional dual regulator	hcaR
-	"3-phenylpropionate dioxygenase, &alpha; subunit"	hcaE
-	"3-phenylpropionate dioxygenase, &beta; subunit"	hcaF
-	3-phenylpropionate dioxygenase, predicted ferredoxin subunit	hcaC
-	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	hcaB
-	3-phenylpropionate dioxygenase, predicted ferredoxin reductase subunit	hcaD
-	predicted inner membrane protein	yphA
-	conserved protein	yphB
-	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	yphC
-	YphD	yphD
-	YphE	yphE
-	YphF	yphF
-	conserved protein	yphG
-	predicted DNA-binding transcriptional regulator, NAGC-like	yphH
-	GlyA	glyA
-	nitric oxide dioxygenase	hmp
-	PII	glnB
-	GlrR DNA-binding transcriptional activator	glrR
-	conserved protein	yfhG
-	GlrK sensory histidine kinase	glrK
small RNA	GlmY	glmY
-	phosphoribosylformylglycinamide synthetase	purL
-	membrane-bound lytic murein transglycosylase F	mltF
-	tRNA-specific adenosine deaminase monomer	tadA
-	phosphatidylglycerophosphatase C	pgpC
-	predicted DNA-binding transcriptional regulator	yfhH
-	predicted 4Fe-4S cluster-containing protein	yfhL
small RNA	ryfB	ryfB
-	toxic peptide ShoB	shoB
small RNA	OhsC	ohsC
-	AcpS	acpS
-	PdxJ	pdxJ
-	protein interacts with RecR and possibly RecF proteins	recO
-	GTP-binding protein	era
-	RNase III	rnc
-	leader peptidase (signal peptidase I)	lepB
-	elongation factor 4	lepA
-	SoxR and Sigma-E factor regulatory protein RseC	rseC
-	rseB	rseB
-	anti-sigma factor	rseA
-	RNA polymerase, sigma 24 (sigma E) factor	rpoE
-	L-aspartate oxidase	nadB
-	tRNA m<sup>6</sup>A37 methyltransferase	yfiC
-	SrmB, DEAD-box RNA helicase	srmB
-	predicted DNA-binding transcriptional regulator LYSR-type	yfiE
-	O-Acetylserine/Cysteine Efflux Permease	eamB
-	stress-induced alternate pyruvate formate-lyase subunit	grcA
-	uracil-DNA glycosylase	ung
-	predicted methyltransferase	yfiF
-	reduced thioredoxin 2	trxC
-	conserved protein	yfiP
-	peptidyl-lysine acetyltransferase	pka
-	PssA	pssA
-	predicted protein	yfiM
-	"&alpha;-ketoglutarate:H<sup>+</sup> symporter"	kgtP
rRNA	rrfG 5S ribosomal RNA	rrfG
rRNA	rrlG 23S ribosomal RNA	rrlG
tRNA	tRNA<SUP>gltW</SUP>	gltW
rRNA	rrsG 16S ribosomal RNA	rrsG
-	ClpB chaperone	clpB
small RNA	RyfD	ryfD
-	conserved protein	yfiH
-	23S rRNA pseudouridine synthase	rluD
-	Outer Membrane Protein Assembly Complex - BamD subunit	bamD
-		Phantom Gene
-	stationary phase translation inhibitor and ribosome stability factor	raiA
-	leader peptide of chorismate mutase-P-prephenate dehydratase	pheL
-	PheA	pheA
-	TyrA	tyrA
-	AroF	aroF
-	putative lipoprotein	yfiL
-	predicted periplasmic protein involved in swarming motility	yfiR
-	predicted diguanylate cyclase	yfiN
-	predicted outer membrane lipoprotein	yfiB
-	50S ribosomal subunit protein L19	rplS
-	tRNA m<sup>1</sup>G37 methyltransferase	trmD
-	ribosome maturation protein	rimM
-	30S ribosomal subunit protein S16	rpsP
small RNA	RpsP5'	rpsP5'
-	protein component of the signal recognition particle (SRP)	ffh
-	predicted inner membrane protein	ypjD
-	predicted inner membrane protein	yfjD
-	nucleotide exchange factor GrpE	grpE
-	NAD kinase monomer	nadK
-	protein used in recombination and DNA repair	recN
-	Outer Membrane Protein Assembly Complex - BamE subunit	bamE
-	predicted protein	ratB
-	50S ribosomal subunit-binding toxin of a predicted toxin-antitoxin pair	ratA
-	small protein B	smpB
small RNA	TmRNA	ssrA
-	"CP4-57 prophage; integrase"	intA
-	"CP4-57 prophage; predicted protein"	yfjH
-	"AlpA DNA-binding transcriptional activator; CP4-57 prophage"	alpA
-	"CP4-57 prophage; predicted protein"	yfjI
-	"CP4-57 prophage; predicted protein"	yfjJ
-	"CP4-57 prophage; conserved protein"	yfjK
-	"CP4-57 prophage; predicted protein"	yfjL
-	"CP4-57 prophage; predicted protein"	yfjM
-	"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system"	rnlA
-	"CP4-57 prophage; antitoxin of the RnlA-RnlB toxin-antitoxin system"	rnlB
-	"CP4-57 prophage; predicted GTP-binding protein"	yfjP
-	"CP4-57 prophage; predicted protein"	yfjQ
-	"CP4-57 prophage; predicted DNA-binding transcriptional regulator"	yfjR
-	"CP4-57 prophage; predicted inner membrane protein"	ypjK
-	"CP4-57 prophage; inner membrane lipoprotein YfjS"	yfjS
-	"CP4-57 prophage; predicted protein"	yfjT
-	"CP4-57 prophage; conserved protein"	yfjU
-	"CP4-57 prophage; predicted inner membrane protein"	ypjM_3
-	"CP4-57 prophage; predicted protein"	ypjM_2
-	"CP4-57 prophage; predicted protein"	ypjM_1
-	"CP4-57 prophage; predicted inner membrane protein"	yfjW
-	"CP4-57 prophage; predicted antirestriction protein"	yfjX
-	"CP4-57 prophage; predicted DNA repair protein"	yfjY
-	"CP4-57 prophage; predicted protein"	ypjJ
-	"CP4-57 prophage; predicted antitoxin of the YpjF-YfjZ toxin-antitoxin system"	yfjZ
-	"CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system"	ypjF
-	adhesin-like autotransporter	ypjA
-	predicted invertase fragment	pinH
-	predicted protein	ypjB
-	predicted protein	ypjC
-		b2651
tRNA	tRNA<SUP>ileY</SUP>	ileY
-		Phantom Gene
-	predicted protein	ygaQ_1
-	predicted protein	ygaQ_2
-	conserved protein	ygaQ_3
-	conserved protein	ygaQ_4
-	predicted protein	csiD
-	L-2-hydroxyglutarate oxidase	lhgO
-		gabD
-	4-aminobutyrate aminotransferase monomer	gabT
-	4-aminobutyrate:H<sup>+</sup> symporter	gabP
-	CsiR DNA-binding transcriptional repressor	csiR
-	predicted protein	ygaU
-	predicted membrane protein	yqaE
-	predicted DNA-binding transcriptional regulator	ygaV
-	predicted inner membrane protein with hydrolase activity	ygaP
-	H-NS-like DNA-binding protein with RNA chaperone activity	stpA
-	L-alanine exporter	alaE
-	predicted protein	ygaC
-	predicted protein	ygaM
-	glutaredoxin-like protein	nrdH
-	flavodoxin involved in dimanganese-tyrosyl radical cofactor maintenance for ribonucleotide reductase	nrdI
-	NrdE	nrdE
-	NrdF	nrdF
-	glycine betaine / proline ABC transporter - ATP binding subunit	proV
-	glycine betaine / proline ABC transporter - membrane subunit	proW
-	glycine betaine / proline ABC transporter - periplasmic binding protein	proX
-	predicted transporter	ygaX
-	predicted transporter	ygaY
-	L-valine efflux transporter - YgaZ subunit	ygaZ
-	L-valine efflux transporter - YgaH subunit	ygaH
-	MprA	mprA
-	EmrAB-TolC multidrug efflux transport system - membrane fusion protein	emrA
-	EmrAB-TolC multidrug efflux transport system - membrane subunit	emrB
-	<i>S</i>-ribosylhomocysteine lyase	luxS
small RNA	MicA	micA
-	"&gamma;-glutamate-cysteine ligase"	gshA
-	conserved inner membrane protein	yqaA
-	fructose-1-phosphatase	yqaB
tRNA	tRNA<SUP>argQ</SUP>	argQ
tRNA	tRNA<SUP>argZ</SUP>	argZ
tRNA	tRNA<SUP>argY</SUP>	argY
tRNA	tRNA<SUP>argV</SUP>	argV
tRNA	tRNA<SUP>serV</SUP>	serV
-	"carbon storage regulator; pleiotropic regulatory protein for carbon source metabolism"	csrA
-	alanyl-tRNA synthetase	alaS
-	inhibitor of RecA	recX
-	DNA strand exchange and recombination protein with protease and nuclease activity	recA
-	NMN aminohydrolase	pncC
-	membrane-bound lytic murein transglycosylase B	mltB
-	sorbitol PTS permease - SrlA subunit	srlA
-	sorbitol PTS permease - SrlE subunit	srlE
-	sorbitol PTS permease - SrlB subunit	srlB
-	SrlD	srlD
-	GutM DNA-binding transcriptional activator	gutM
-	GutR DNA-binding transcriptional repressor	srlR
-	D-arabinose 5-phosphate isomerase	gutQ
-	NorR DNA-binding transcriptional dual regulator	norR
-	flavorubredoxin	norV
-	flavorubredoxin reductase	norW
small RNA	C0664	C0664
-	hydrogenase maturation protein, carbamoyltransferase	hypF
-	putative electron transport protein HydN	hydN
-	AscG DNA-binding transcriptional repressor	ascG
-	AscF	ascF
-	"6-phospho-&beta;-glucosidase; cryptic"	ascB
-	hydrogenase 3 maturation protease	hycI
-	protein required for maturation of hydrogenase 3	hycH
-	hydrogenase 3 and formate hydrogenlyase complex, HycG subunit	hycG
-	formate hydrogenlyase complex iron-sulfur protein	hycF
-	hydrogenase 3, large subunit	hycE
-	hydrogenase 3, membrane subunit	hycD
-	hydrogenase 3, membrane subunit	hycC
-	hydrogenase 3, Fe-S subunit	hycB
-	regulator of the transcriptional regulator FhlA	hycA
-	accessory protein for nickel incorporation into hydrogenase 3	hypA
-	accessory protein for nickel incorporation into hydrogenase isoenzymes	hypB
-	HypC, protein involved in hydrogenase 3 maturation	hypC
-	HypD, protein involved in maturation of hydrogenase isoenzymes	hypD
-	hydrogenase maturation protein, carbamoyl dehydratase	hypE
-	FhlA transcriptional activator	fhlA
-	predicted protein	ygbA
-	MutS	mutS
-	protein-tyrosine-phosphatase/phosphoprotein phosphatase	pphB
-	predicted DNA-binding transcriptional regulator, DEOR-type	ygbI
